"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 17:00","2020","02","01","17:00","0.0","","-2.4","","84","","0.0","","20","","15","","12.9","","99.94","","","","-4","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 18:00","2020","02","01","18:00","-0.4","","-1.8","","90","","0.0","","19","","15","","3.6","","99.91","","","","-5","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 19:00","2020","02","01","19:00","-0.4","","-1.4","","93","","0.0","","20","","17","","2.8","","99.87","","","","-5","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 20:00","2020","02","01","20:00","-0.3","","-1.3","","93","","0.2","","21","","21","","4.0","","99.82","","","","-6","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 21:00","2020","02","01","21:00","-0.1","","-1.3","","92","","0.0","","21","","21","","9.7","","99.75","","","","-6","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 22:00","2020","02","01","22:00","-0.1","","-1.3","","92","","0.0","","21","","24","","4.8","","99.65","","","","-6","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 23:00","2020","02","01","23:00","0.3","","-1.3","","89","","0.0","","22","","26","","16.1","","99.60","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 00:00","2020","02","02","00:00","0.5","","-1.3","","88","","0.0","","23","","24","","16.1","","99.49","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 01:00","2020","02","02","01:00","0.5","","-1.1","","89","","0.0","","23","","22","","16.1","","99.40","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 02:00","2020","02","02","02:00","0.5","","-1.0","","90","","0.0","","23","","21","","16.1","","99.35","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 03:00","2020","02","02","03:00","0.5","","-1.0","","90","","0.0","","24","","18","","12.9","","99.30","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 04:00","2020","02","02","04:00","0.7","","-1.2","","87","","0.0","","25","","9","","11.3","","99.28","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 05:00","2020","02","02","05:00","1.1","","-1.1","","85","","0.0","","27","","13","","12.9","","99.22","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 06:00","2020","02","02","06:00","0.9","","-1.7","","83","","0.0","","25","","24","","16.1","","99.21","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 07:00","2020","02","02","07:00","0.6","","-1.8","","84","","0.0","","24","","18","","16.1","","99.19","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 08:00","2020","02","02","08:00","1.0","","-1.1","","86","","0.0","","22","","26","","16.1","","99.10","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 09:00","2020","02","02","09:00","0.3","","-0.4","","95","","0.0","","22","","22","","2.4","","99.09","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 10:00","2020","02","02","10:00","0.3","","-0.1","","97","","0.8","","22","","13","","1.6","","98.98","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 11:00","2020","02","02","11:00","0.4","","0.1","","98","","1.0","","20","","18","","1.6","","98.89","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 12:00","2020","02","02","12:00","0.6","","0.3","","98","","0.8","","20","","18","","3.2","","98.76","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 13:00","2020","02","02","13:00","0.7","","0.4","","98","","0.8","","18","","13","","4.0","","98.62","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 14:00","2020","02","02","14:00","1.3","","0.6","","95","","0.2","","17","","11","","11.3","","98.56","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 15:00","2020","02","02","15:00","1.4","","0.7","","95","","0.5","","16","","9","","12.9","","98.53","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 16:00","2020","02","02","16:00","1.5","","0.6","","94","","0.0","","14","","8","","16.1","","98.59","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 17:00","2020","02","02","17:00","1.6","","0.9","","95","","0.0","","19","","4","","11.3","","98.67","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 18:00","2020","02","02","18:00","1.5","","0.9","","96","","0.0","","24","","4","","4.8","","98.75","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 19:00","2020","02","02","19:00","1.3","","1.0","","98","","0.2","","24","","4","","4.8","","98.85","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 20:00","2020","02","02","20:00","1.5","","1.2","","98","","0.0","","23","","9","","6.4","","98.90","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 21:00","2020","02","02","21:00","1.5","","0.8","","95","","0.2","","22","","11","","8.1","","98.93","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 22:00","2020","02","02","22:00","1.6","","1.0","","96","","0.0","","26","","9","","4.8","","99.05","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 23:00","2020","02","02","23:00","1.6","","1.2","","97","","0.0","","23","","11","","4.0","","99.12","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 00:00","2020","02","03","00:00","2.1","","1.4","","95","","0.0","","23","","24","","4.8","","99.17","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 01:00","2020","02","03","01:00","2.1","","1.4","","95","","0.0","","23","","22","","6.4","","99.26","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 02:00","2020","02","03","02:00","2.3","","1.3","","93","","0.0","","23","","13","","11.3","","99.34","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 03:00","2020","02","03","03:00","3.4","","0.2","","80","","0.0","","27","","17","","16.1","","99.48","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 04:00","2020","02","03","04:00","3.7","","0.0","","77","","0.0","","28","","18","","16.1","","99.58","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 05:00","2020","02","03","05:00","3.8","","-0.8","","72","","0.0","","29","","32","","16.1","","99.73","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 06:00","2020","02","03","06:00","3.2","","-0.7","","76","","0.0","","26","","18","","16.1","","99.84","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 07:00","2020","02","03","07:00","3.6","","-1.1","","71","","0.0","","26","","21","","16.1","","99.94","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 08:00","2020","02","03","08:00","3.5","","-1.1","","72","","0.0","","26","","17","","16.1","","100.06","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 09:00","2020","02","03","09:00","3.0","","-0.4","","78","","0.0","","24","","18","","16.1","","100.11","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 10:00","2020","02","03","10:00","3.2","","-0.3","","78","","0.0","","24","","18","","16.1","","100.09","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 11:00","2020","02","03","11:00","4.1","","-1.5","","67","","0.0","","27","","22","","16.1","","100.20","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 12:00","2020","02","03","12:00","4.3","","-1.6","","66","","0.0","","27","","21","","16.1","","100.19","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 13:00","2020","02","03","13:00","4.9","","-1.5","","63","","0.0","","26","","24","","16.1","","100.10","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 14:00","2020","02","03","14:00","4.7","","-2.0","","62","","0.0","","26","","24","","16.1","","100.10","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 15:00","2020","02","03","15:00","5.1","","-1.8","","61","","0.0","","25","","22","","16.1","","100.11","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 16:00","2020","02","03","16:00","5.2","","-2.1","","59","","0.0","","27","","15","","16.1","","100.11","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 17:00","2020","02","03","17:00","4.5","","-2.1","","62","","0.0","","26","","9","","16.1","","100.11","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 18:00","2020","02","03","18:00","4.7","","-3.1","","57","","0.0","","34","","8","","16.1","","100.14","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 19:00","2020","02","03","19:00","3.6","","-2.8","","63","","0.0","","","","0","","16.1","","100.21","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 20:00","2020","02","03","20:00","2.6","","-1.2","","76","","0.0","","7","","21","","16.1","","100.17","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 21:00","2020","02","03","21:00","2.4","","-2.2","","72","","0.0","","5","","22","","16.1","","100.08","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 22:00","2020","02","03","22:00","2.6","","-2.6","","69","","0.0","","6","","18","","16.1","","100.01","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 23:00","2020","02","03","23:00","2.6","","-2.7","","68","","0.0","","6","","17","","16.1","","99.99","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 00:00","2020","02","04","00:00","2.5","","-2.5","","70","","0.0","","6","","18","","16.1","","99.96","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 01:00","2020","02","04","01:00","2.7","","-3.1","","66","","0.0","","6","","21","","16.1","","99.88","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 02:00","2020","02","04","02:00","3.0","","-3.1","","64","","0.0","","5","","15","","16.1","","99.90","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 03:00","2020","02","04","03:00","3.2","","-3.5","","62","","0.0","","3","","21","","16.1","","99.86","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 04:00","2020","02","04","04:00","3.2","","-3.8","","60","","0.0","","36","","15","","16.1","","99.84","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 05:00","2020","02","04","05:00","2.9","","-3.3","","64","","0.0","","31","","13","","16.1","","99.91","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 06:00","2020","02","04","06:00","2.4","","-3.3","","66","","0.0","","35","","9","","16.1","","99.98","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 07:00","2020","02","04","07:00","2.4","","-3.7","","64","","0.0","","33","","11","","16.1","","100.06","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 08:00","2020","02","04","08:00","2.3","","-4.7","","60","","0.0","","32","","21","","16.1","","100.14","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 09:00","2020","02","04","09:00","2.2","","-4.5","","61","","0.0","","34","","9","","16.1","","100.21","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 10:00","2020","02","04","10:00","2.4","","-4.2","","62","","0.0","","34","","13","","16.1","","100.29","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 11:00","2020","02","04","11:00","2.7","","-3.5","","64","","0.0","","33","","15","","16.1","","100.31","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 12:00","2020","02","04","12:00","2.9","","-2.8","","66","","0.0","","34","","18","","16.1","","100.27","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 13:00","2020","02","04","13:00","2.8","","-2.2","","70","","0.0","","31","","15","","16.1","","100.29","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 14:00","2020","02","04","14:00","2.8","","-4.7","","58","","0.0","","30","","15","","16.1","","100.26","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 15:00","2020","02","04","15:00","2.3","","-5.1","","58","","0.0","","32","","22","","16.1","","100.32","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 16:00","2020","02","04","16:00","2.2","","-4.8","","60","","0.0","","34","","17","","16.1","","100.39","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 17:00","2020","02","04","17:00","1.9","","-5.3","","59","","0.0","","33","","15","","16.1","","100.43","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 18:00","2020","02","04","18:00","1.7","","-5.0","","61","","0.0","","32","","15","","16.1","","100.52","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 19:00","2020","02","04","19:00","1.2","","-5.1","","63","","0.0","","34","","18","","16.1","","100.60","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 20:00","2020","02","04","20:00","1.1","","-4.4","","67","","0.0","","32","","9","","16.1","","100.68","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 21:00","2020","02","04","21:00","0.2","","-7.1","","58","","0.0","","33","","18","","16.1","","100.69","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 22:00","2020","02","04","22:00","-0.8","","-8.3","","57","","0.0","","30","","28","","16.1","","100.75","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-04 23:00","2020","02","04","23:00","-1.4","","-8.5","","59","","0.0","","31","","26","","16.1","","100.80","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 00:00","2020","02","05","00:00","-2.1","","-9.3","","58","","0.0","","33","","21","","16.1","","100.86","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 01:00","2020","02","05","01:00","-3.5","","-11.1","","56","","0.0","","30","","26","","16.1","","100.90","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 02:00","2020","02","05","02:00","-3.9","","-11.2","","57","","0.0","","33","","24","","16.1","","100.92","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 03:00","2020","02","05","03:00","-4.0","","-11.0","","58","","0.0","","32","","26","","16.1","","100.97","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 04:00","2020","02","05","04:00","-4.0","","-10.3","","62","","0.0","","32","","22","","16.1","","101.06","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 05:00","2020","02","05","05:00","-4.6","","-10.8","","62","","0.0","","34","","26","","16.1","","101.17","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 06:00","2020","02","05","06:00","-4.7","","-10.9","","62","","0.0","","36","","17","","16.1","","101.23","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 07:00","2020","02","05","07:00","-5.4","","-10.8","","66","","0.0","","32","","18","","16.1","","101.30","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 08:00","2020","02","05","08:00","-6.4","","-11.8","","66","","0.0","","32","","13","","16.1","","101.37","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 09:00","2020","02","05","09:00","-6.5","","-13.7","","57","","0.0","","32","","18","","16.1","","101.48","","","","-13","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 10:00","2020","02","05","10:00","-5.9","","-12.3","","61","","0.0","","6","","21","","16.1","","101.38","","","","-13","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 11:00","2020","02","05","11:00","-5.3","","-12.8","","56","","0.0","","","M","5","","16.1","","101.51","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 12:00","2020","02","05","12:00","-4.6","","-12.5","","54","","0.0","","18","","9","","16.1","","101.39","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 13:00","2020","02","05","13:00","-4.6","","-12.4","","55","","0.0","","20","","8","","16.1","","101.34","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 14:00","2020","02","05","14:00","-4.2","","-11.8","","56","","0.0","","12","","8","","16.1","","101.14","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 15:00","2020","02","05","15:00","-3.8","","-11.2","","57","","0.0","","12","","9","","16.1","","101.15","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 16:00","2020","02","05","16:00","-4.0","","-11.1","","58","","0.0","","12","","9","","16.1","","101.11","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 17:00","2020","02","05","17:00","-3.8","","-10.7","","59","","0.0","","12","","11","","16.1","","101.05","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 18:00","2020","02","05","18:00","-3.8","","-10.4","","60","","0.0","","8","","13","","16.1","","100.92","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 19:00","2020","02","05","19:00","-3.5","","-10.3","","60","","0.0","","7","","13","","16.1","","100.89","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 20:00","2020","02","05","20:00","-3.3","","-10.7","","57","","0.0","","9","","11","","16.1","","100.88","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 21:00","2020","02","05","21:00","-3.1","","-9.6","","61","","0.0","","8","","17","","16.1","","100.72","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 22:00","2020","02","05","22:00","-2.9","","-10.2","","57","","0.0","","7","","26","","16.1","","100.46","","","","-10","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-05 23:00","2020","02","05","23:00","-2.3","","-7.8","","66","","0.0","","8","","24","","16.1","","100.33","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 00:00","2020","02","06","00:00","-2.6","","-4.6","","86","","0.0","","8","","22","","2.4","","100.29","","","","-9","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 01:00","2020","02","06","01:00","-3.2","","-4.7","","89","","0.5","","34","","15","","2.4","","100.19","","","","-8","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 02:00","2020","02","06","02:00","-3.8","","-5.8","","86","","0.5","","2","","15","","3.6","","100.06","","","","-9","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 03:00","2020","02","06","03:00","-3.3","","-5.2","","87","","0.0","","2","","26","","4.8","","99.96","","","","-10","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 04:00","2020","02","06","04:00","-3.5","","-5.4","","87","","0.0","","4","","22","","6.4","","99.88","","","","-10","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 05:00","2020","02","06","05:00","-3.5","","-5.5","","86","","0.0","","5","","22","","8.1","","99.78","","","","-10","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 06:00","2020","02","06","06:00","-3.6","","-5.9","","84","","0.0","","4","","24","","16.1","","99.75","","","","-10","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 07:00","2020","02","06","07:00","-3.4","","-5.7","","84","","0.0","","4","","22","","3.2","","99.62","","","","-10","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 08:00","2020","02","06","08:00","-3.5","","-5.5","","86","","0.2","","5","","24","","4.8","","99.58","","","","-10","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 09:00","2020","02","06","09:00","-3.3","","-5.3","","86","","0.0","","3","","21","","4.0","","99.49","","","","-10","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 10:00","2020","02","06","10:00","-3.4","","-5.9","","83","","0.2","","3","","28","","4.8","","99.44","","","","-11","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 11:00","2020","02","06","11:00","-2.9","","-5.7","","81","","0.0","","1","","21","","16.1","","99.50","","","","-9","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 12:00","2020","02","06","12:00","-3.2","","-5.6","","83","","0.0","","1","","15","","3.6","","99.43","","","","-8","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 13:00","2020","02","06","13:00","-3.0","","-6.2","","79","","0.0","","2","","15","","16.1","","99.36","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 14:00","2020","02","06","14:00","-2.8","","-6.6","","75","","0.0","","2","","21","","12.9","","99.23","","","","-9","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 15:00","2020","02","06","15:00","-2.9","","-7.1","","73","","0.0","","5","","24","","16.1","","99.09","","","","-10","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 16:00","2020","02","06","16:00","-2.8","","-7.2","","72","","0.0","","3","","21","","16.1","","99.12","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 17:00","2020","02","06","17:00","-2.9","","-6.8","","74","","0.0","","3","","21","","16.1","","99.03","","","","-9","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 18:00","2020","02","06","18:00","-3.3","","-7.1","","75","","0.0","","3","","22","","6.4","","98.97","","","","-10","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 19:00","2020","02","06","19:00","-3.3","","-6.8","","77","","0.0","","5","","18","","14.5","","99.08","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 20:00","2020","02","06","20:00","-3.6","","-6.0","","84","","0.0","","5","","15","","4.0","","99.00","","","","-9","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-06 21:00","2020","02","06","21:00","-3.8","","-6.0","","85","","0.2","","3","","18","","2.0","","98.99","","","","-10","","Snow"
