,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
11,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 11:00,2020,2,1,11:00,0.0,,-2.9,,81,,0.0,,24.0,,9.0,,11.3,,100.58,,,,-3.0,,
12,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 12:00,2020,2,1,12:00,0.3,,-3.1,,78,,0.0,,23.0,,11.0,,14.5,,100.47,,,,,,
13,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 13:00,2020,2,1,13:00,0.5,,-2.8,,79,,0.0,,21.0,,15.0,,14.5,,100.34,,,,,,
14,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 14:00,2020,2,1,14:00,1.0,,-3.0,,75,,0.0,,20.0,,17.0,,16.1,,100.18,,,,,,
15,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 15:00,2020,2,1,15:00,0.6,,-4.4,,70,,0.0,,20.0,,18.0,,16.1,,100.08,,,,,,"Rain,Snow"
16,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 16:00,2020,2,1,16:00,-0.1,,-2.6,,83,,0.0,,20.0,,13.0,,4.8,,100.01,,,,-4.0,,Snow
17,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 17:00,2020,2,1,17:00,0.0,,-2.4,,84,,0.0,,20.0,,15.0,,12.9,,99.94,,,,-4.0,,Rain
18,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 18:00,2020,2,1,18:00,-0.4,,-1.8,,90,,0.0,,19.0,,15.0,,3.6,,99.91,,,,-5.0,,Snow
19,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 19:00,2020,2,1,19:00,-0.4,,-1.4,,93,,0.0,,20.0,,17.0,,2.8,,99.87,,,,-5.0,,Snow
20,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 20:00,2020,2,1,20:00,-0.3,,-1.3,,93,,0.2,,21.0,,21.0,,4.0,,99.82,,,,-6.0,,Snow
21,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 21:00,2020,2,1,21:00,-0.1,,-1.3,,92,,0.0,,21.0,,21.0,,9.7,,99.75,,,,-6.0,,Snow
22,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 22:00,2020,2,1,22:00,-0.1,,-1.3,,92,,0.0,,21.0,,24.0,,4.8,,99.65,,,,-6.0,,Snow
23,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-01 23:00,2020,2,1,23:00,0.3,,-1.3,,89,,0.0,,22.0,,26.0,,16.1,,99.6,,,,,,Rain
24,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 00:00,2020,2,2,00:00,0.5,,-1.3,,88,,0.0,,23.0,,24.0,,16.1,,99.49,,,,,,Rain
25,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 01:00,2020,2,2,01:00,0.5,,-1.1,,89,,0.0,,23.0,,22.0,,16.1,,99.4,,,,,,Rain
26,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 02:00,2020,2,2,02:00,0.5,,-1.0,,90,,0.0,,23.0,,21.0,,16.1,,99.35,,,,,,
27,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 03:00,2020,2,2,03:00,0.5,,-1.0,,90,,0.0,,24.0,,18.0,,12.9,,99.3,,,,,,
28,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 04:00,2020,2,2,04:00,0.7,,-1.2,,87,,0.0,,25.0,,9.0,,11.3,,99.28,,,,,,
29,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 05:00,2020,2,2,05:00,1.1,,-1.1,,85,,0.0,,27.0,,13.0,,12.9,,99.22,,,,,,
30,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 06:00,2020,2,2,06:00,0.9,,-1.7,,83,,0.0,,25.0,,24.0,,16.1,,99.21,,,,,,
31,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 07:00,2020,2,2,07:00,0.6,,-1.8,,84,,0.0,,24.0,,18.0,,16.1,,99.19,,,,,,
32,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 08:00,2020,2,2,08:00,1.0,,-1.1,,86,,0.0,,22.0,,26.0,,16.1,,99.1,,,,,,
33,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 09:00,2020,2,2,09:00,0.3,,-0.4,,95,,0.0,,22.0,,22.0,,2.4,,99.09,,,,,,Snow
34,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 10:00,2020,2,2,10:00,0.3,,-0.1,,97,,0.8,,22.0,,13.0,,1.6,,98.98,,,,,,Snow
35,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 11:00,2020,2,2,11:00,0.4,,0.1,,98,,1.0,,20.0,,18.0,,1.6,,98.89,,,,,,Snow
36,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 12:00,2020,2,2,12:00,0.6,,0.3,,98,,0.8,,20.0,,18.0,,3.2,,98.76,,,,,,Snow
37,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 13:00,2020,2,2,13:00,0.7,,0.4,,98,,0.8,,18.0,,13.0,,4.0,,98.62,,,,,,Snow
38,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 14:00,2020,2,2,14:00,1.3,,0.6,,95,,0.2,,17.0,,11.0,,11.3,,98.56,,,,,,Rain
39,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 15:00,2020,2,2,15:00,1.4,,0.7,,95,,0.5,,16.0,,9.0,,12.9,,98.53,,,,,,Rain
40,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 16:00,2020,2,2,16:00,1.5,,0.6,,94,,0.0,,14.0,,8.0,,16.1,,98.59,,,,,,
41,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 17:00,2020,2,2,17:00,1.6,,0.9,,95,,0.0,,19.0,,4.0,,11.3,,98.67,,,,,,
42,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 18:00,2020,2,2,18:00,1.5,,0.9,,96,,0.0,,24.0,,4.0,,4.8,,98.75,,,,,,"Rain,Fog"
43,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 19:00,2020,2,2,19:00,1.3,,1.0,,98,,0.2,,24.0,,4.0,,4.8,,98.85,,,,,,"Rain,Fog"
44,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 20:00,2020,2,2,20:00,1.5,,1.2,,98,,0.0,,23.0,,9.0,,6.4,,98.9,,,,,,"Rain,Fog"
45,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 21:00,2020,2,2,21:00,1.5,,0.8,,95,,0.2,,22.0,,11.0,,8.1,,98.93,,,,,,"Rain,Fog"
46,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 22:00,2020,2,2,22:00,1.6,,1.0,,96,,0.0,,26.0,,9.0,,4.8,,99.05,,,,,,Fog
47,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-02 23:00,2020,2,2,23:00,1.6,,1.2,,97,,0.0,,23.0,,11.0,,4.0,,99.12,,,,,,Fog
48,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 00:00,2020,2,3,00:00,2.1,,1.4,,95,,0.0,,23.0,,24.0,,4.8,,99.17,,,,,,Fog
49,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 01:00,2020,2,3,01:00,2.1,,1.4,,95,,0.0,,23.0,,22.0,,6.4,,99.26,,,,,,Fog
50,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 02:00,2020,2,3,02:00,2.3,,1.3,,93,,0.0,,23.0,,13.0,,11.3,,99.34,,,,,,
51,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 03:00,2020,2,3,03:00,3.4,,0.2,,80,,0.0,,27.0,,17.0,,16.1,,99.48,,,,,,
52,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 04:00,2020,2,3,04:00,3.7,,0.0,,77,,0.0,,28.0,,18.0,,16.1,,99.58,,,,,,
53,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 05:00,2020,2,3,05:00,3.8,,-0.8,,72,,0.0,,29.0,,32.0,,16.1,,99.73,,,,,,
54,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 06:00,2020,2,3,06:00,3.2,,-0.7,,76,,0.0,,26.0,,18.0,,16.1,,99.84,,,,,,
55,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 07:00,2020,2,3,07:00,3.6,,-1.1,,71,,0.0,,26.0,,21.0,,16.1,,99.94,,,,,,
56,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 08:00,2020,2,3,08:00,3.5,,-1.1,,72,,0.0,,26.0,,17.0,,16.1,,100.06,,,,,,
57,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 09:00,2020,2,3,09:00,3.0,,-0.4,,78,,0.0,,24.0,,18.0,,16.1,,100.11,,,,,,
58,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 10:00,2020,2,3,10:00,3.2,,-0.3,,78,,0.0,,24.0,,18.0,,16.1,,100.09,,,,,,
59,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 11:00,2020,2,3,11:00,4.1,,-1.5,,67,,0.0,,27.0,,22.0,,16.1,,100.2,,,,,,
60,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 12:00,2020,2,3,12:00,4.3,,-1.6,,66,,0.0,,27.0,,21.0,,16.1,,100.19,,,,,,
61,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 13:00,2020,2,3,13:00,4.9,,-1.5,,63,,0.0,,26.0,,24.0,,16.1,,100.1,,,,,,
62,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 14:00,2020,2,3,14:00,4.7,,-2.0,,62,,0.0,,26.0,,24.0,,16.1,,100.1,,,,,,
63,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 15:00,2020,2,3,15:00,5.1,,-1.8,,61,,0.0,,25.0,,22.0,,16.1,,100.11,,,,,,
64,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 16:00,2020,2,3,16:00,5.2,,-2.1,,59,,0.0,,27.0,,15.0,,16.1,,100.11,,,,,,
65,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 17:00,2020,2,3,17:00,4.5,,-2.1,,62,,0.0,,26.0,,9.0,,16.1,,100.11,,,,,,
66,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 18:00,2020,2,3,18:00,4.7,,-3.1,,57,,0.0,,34.0,,8.0,,16.1,,100.14,,,,,,
67,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 19:00,2020,2,3,19:00,3.6,,-2.8,,63,,0.0,,,,0.0,,16.1,,100.21,,,,,,
68,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 20:00,2020,2,3,20:00,2.6,,-1.2,,76,,0.0,,7.0,,21.0,,16.1,,100.17,,,,,,
69,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 21:00,2020,2,3,21:00,2.4,,-2.2,,72,,0.0,,5.0,,22.0,,16.1,,100.08,,,,,,
70,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 22:00,2020,2,3,22:00,2.6,,-2.6,,69,,0.0,,6.0,,18.0,,16.1,,100.01,,,,,,
71,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-03 23:00,2020,2,3,23:00,2.6,,-2.7,,68,,0.0,,6.0,,17.0,,16.1,,99.99,,,,,,
72,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 00:00,2020,2,4,00:00,2.5,,-2.5,,70,,0.0,,6.0,,18.0,,16.1,,99.96,,,,,,
73,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 01:00,2020,2,4,01:00,2.7,,-3.1,,66,,0.0,,6.0,,21.0,,16.1,,99.88,,,,,,
74,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 02:00,2020,2,4,02:00,3.0,,-3.1,,64,,0.0,,5.0,,15.0,,16.1,,99.9,,,,,,
75,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 03:00,2020,2,4,03:00,3.2,,-3.5,,62,,0.0,,3.0,,21.0,,16.1,,99.86,,,,,,
76,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 04:00,2020,2,4,04:00,3.2,,-3.8,,60,,0.0,,36.0,,15.0,,16.1,,99.84,,,,,,
77,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 05:00,2020,2,4,05:00,2.9,,-3.3,,64,,0.0,,31.0,,13.0,,16.1,,99.91,,,,,,
78,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 06:00,2020,2,4,06:00,2.4,,-3.3,,66,,0.0,,35.0,,9.0,,16.1,,99.98,,,,,,
79,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 07:00,2020,2,4,07:00,2.4,,-3.7,,64,,0.0,,33.0,,11.0,,16.1,,100.06,,,,,,
80,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 08:00,2020,2,4,08:00,2.3,,-4.7,,60,,0.0,,32.0,,21.0,,16.1,,100.14,,,,,,
81,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 09:00,2020,2,4,09:00,2.2,,-4.5,,61,,0.0,,34.0,,9.0,,16.1,,100.21,,,,,,
82,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 10:00,2020,2,4,10:00,2.4,,-4.2,,62,,0.0,,34.0,,13.0,,16.1,,100.29,,,,,,
83,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 11:00,2020,2,4,11:00,2.7,,-3.5,,64,,0.0,,33.0,,15.0,,16.1,,100.31,,,,,,
84,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 12:00,2020,2,4,12:00,2.9,,-2.8,,66,,0.0,,34.0,,18.0,,16.1,,100.27,,,,,,
85,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 13:00,2020,2,4,13:00,2.8,,-2.2,,70,,0.0,,31.0,,15.0,,16.1,,100.29,,,,,,
86,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 14:00,2020,2,4,14:00,2.8,,-4.7,,58,,0.0,,30.0,,15.0,,16.1,,100.26,,,,,,
87,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 15:00,2020,2,4,15:00,2.3,,-5.1,,58,,0.0,,32.0,,22.0,,16.1,,100.32,,,,,,
88,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 16:00,2020,2,4,16:00,2.2,,-4.8,,60,,0.0,,34.0,,17.0,,16.1,,100.39,,,,,,
89,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 17:00,2020,2,4,17:00,1.9,,-5.3,,59,,0.0,,33.0,,15.0,,16.1,,100.43,,,,,,
90,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 18:00,2020,2,4,18:00,1.7,,-5.0,,61,,0.0,,32.0,,15.0,,16.1,,100.52,,,,,,
91,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 19:00,2020,2,4,19:00,1.2,,-5.1,,63,,0.0,,34.0,,18.0,,16.1,,100.6,,,,,,
92,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 20:00,2020,2,4,20:00,1.1,,-4.4,,67,,0.0,,32.0,,9.0,,16.1,,100.68,,,,,,
93,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 21:00,2020,2,4,21:00,0.2,,-7.1,,58,,0.0,,33.0,,18.0,,16.1,,100.69,,,,,,
94,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 22:00,2020,2,4,22:00,-0.8,,-8.3,,57,,0.0,,30.0,,28.0,,16.1,,100.75,,,,-7.0,,
95,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-04 23:00,2020,2,4,23:00,-1.4,,-8.5,,59,,0.0,,31.0,,26.0,,16.1,,100.8,,,,-8.0,,
96,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 00:00,2020,2,5,00:00,-2.1,,-9.3,,58,,0.0,,33.0,,21.0,,16.1,,100.86,,,,-8.0,,
97,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 01:00,2020,2,5,01:00,-3.5,,-11.1,,56,,0.0,,30.0,,26.0,,16.1,,100.9,,,,-11.0,,
98,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 02:00,2020,2,5,02:00,-3.9,,-11.2,,57,,0.0,,33.0,,24.0,,16.1,,100.92,,,,-11.0,,
99,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 03:00,2020,2,5,03:00,-4.0,,-11.0,,58,,0.0,,32.0,,26.0,,16.1,,100.97,,,,-11.0,,
100,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 04:00,2020,2,5,04:00,-4.0,,-10.3,,62,,0.0,,32.0,,22.0,,16.1,,101.06,,,,-11.0,,
101,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 05:00,2020,2,5,05:00,-4.6,,-10.8,,62,,0.0,,34.0,,26.0,,16.1,,101.17,,,,-12.0,,
102,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 06:00,2020,2,5,06:00,-4.7,,-10.9,,62,,0.0,,36.0,,17.0,,16.1,,101.23,,,,-11.0,,
103,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 07:00,2020,2,5,07:00,-5.4,,-10.8,,66,,0.0,,32.0,,18.0,,16.1,,101.3,,,,-12.0,,
104,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 08:00,2020,2,5,08:00,-6.4,,-11.8,,66,,0.0,,32.0,,13.0,,16.1,,101.37,,,,-12.0,,
105,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 09:00,2020,2,5,09:00,-6.5,,-13.7,,57,,0.0,,32.0,,18.0,,16.1,,101.48,,,,-13.0,,
106,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 10:00,2020,2,5,10:00,-5.9,,-12.3,,61,,0.0,,6.0,,21.0,,16.1,,101.38,,,,-13.0,,
107,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 11:00,2020,2,5,11:00,-5.3,,-12.8,,56,,0.0,,,M,5.0,,16.1,,101.51,,,,-8.0,,
108,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 12:00,2020,2,5,12:00,-4.6,,-12.5,,54,,0.0,,18.0,,9.0,,16.1,,101.39,,,,-8.0,,
109,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 13:00,2020,2,5,13:00,-4.6,,-12.4,,55,,0.0,,20.0,,8.0,,16.1,,101.34,,,,-8.0,,
110,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 14:00,2020,2,5,14:00,-4.2,,-11.8,,56,,0.0,,12.0,,8.0,,16.1,,101.14,,,,-8.0,,
111,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 15:00,2020,2,5,15:00,-3.8,,-11.2,,57,,0.0,,12.0,,9.0,,16.1,,101.15,,,,-8.0,,
112,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 16:00,2020,2,5,16:00,-4.0,,-11.1,,58,,0.0,,12.0,,9.0,,16.1,,101.11,,,,-8.0,,
113,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 17:00,2020,2,5,17:00,-3.8,,-10.7,,59,,0.0,,12.0,,11.0,,16.1,,101.05,,,,-8.0,,
114,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 18:00,2020,2,5,18:00,-3.8,,-10.4,,60,,0.0,,8.0,,13.0,,16.1,,100.92,,,,-9.0,,
115,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 19:00,2020,2,5,19:00,-3.5,,-10.3,,60,,0.0,,7.0,,13.0,,16.1,,100.89,,,,-8.0,,
116,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 20:00,2020,2,5,20:00,-3.3,,-10.7,,57,,0.0,,9.0,,11.0,,16.1,,100.88,,,,-8.0,,
117,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 21:00,2020,2,5,21:00,-3.1,,-9.6,,61,,0.0,,8.0,,17.0,,16.1,,100.72,,,,-9.0,,
118,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 22:00,2020,2,5,22:00,-2.9,,-10.2,,57,,0.0,,7.0,,26.0,,16.1,,100.46,,,,-10.0,,
119,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-05 23:00,2020,2,5,23:00,-2.3,,-7.8,,66,,0.0,,8.0,,24.0,,16.1,,100.33,,,,-9.0,,
120,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 00:00,2020,2,6,00:00,-2.6,,-4.6,,86,,0.0,,8.0,,22.0,,2.4,,100.29,,,,-9.0,,Snow
121,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 01:00,2020,2,6,01:00,-3.2,,-4.7,,89,,0.5,,34.0,,15.0,,2.4,,100.19,,,,-8.0,,Snow
122,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 02:00,2020,2,6,02:00,-3.8,,-5.8,,86,,0.5,,2.0,,15.0,,3.6,,100.06,,,,-9.0,,Snow
123,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 03:00,2020,2,6,03:00,-3.3,,-5.2,,87,,0.0,,2.0,,26.0,,4.8,,99.96,,,,-10.0,,Snow
124,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 04:00,2020,2,6,04:00,-3.5,,-5.4,,87,,0.0,,4.0,,22.0,,6.4,,99.88,,,,-10.0,,Snow
125,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 05:00,2020,2,6,05:00,-3.5,,-5.5,,86,,0.0,,5.0,,22.0,,8.1,,99.78,,,,-10.0,,Snow
126,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 06:00,2020,2,6,06:00,-3.6,,-5.9,,84,,0.0,,4.0,,24.0,,16.1,,99.75,,,,-10.0,,Snow
127,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 07:00,2020,2,6,07:00,-3.4,,-5.7,,84,,0.0,,4.0,,22.0,,3.2,,99.62,,,,-10.0,,Snow
128,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 08:00,2020,2,6,08:00,-3.5,,-5.5,,86,,0.2,,5.0,,24.0,,4.8,,99.58,,,,-10.0,,Snow
129,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 09:00,2020,2,6,09:00,-3.3,,-5.3,,86,,0.0,,3.0,,21.0,,4.0,,99.49,,,,-10.0,,Snow
130,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 10:00,2020,2,6,10:00,-3.4,,-5.9,,83,,0.2,,3.0,,28.0,,4.8,,99.44,,,,-11.0,,Snow
131,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 11:00,2020,2,6,11:00,-2.9,,-5.7,,81,,0.0,,1.0,,21.0,,16.1,,99.5,,,,-9.0,,Snow
132,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 12:00,2020,2,6,12:00,-3.2,,-5.6,,83,,0.0,,1.0,,15.0,,3.6,,99.43,,,,-8.0,,Snow
133,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 13:00,2020,2,6,13:00,-3.0,,-6.2,,79,,0.0,,2.0,,15.0,,16.1,,99.36,,,,-8.0,,
134,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 14:00,2020,2,6,14:00,-2.8,,-6.6,,75,,0.0,,2.0,,21.0,,12.9,,99.23,,,,-9.0,,Snow
135,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 15:00,2020,2,6,15:00,-2.9,,-7.1,,73,,0.0,,5.0,,24.0,,16.1,,99.09,,,,-10.0,,
136,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-02-06 16:00,2020,2,6,16:00,-2.8,,-7.2,,72,,0.0,,3.0,,21.0,,16.1,,99.12,,,,-9.0,,
